id,nome_completo,nome_urna,partido_atual,cargo_atual,uf_sede,promessas_campanha,redes_sociais,foto_url,data_atualizacao,id_externo_api,fonte_api,casa_legislativa,foto_status
1f4b9a5a-8f6e-44dd-b07c-db8f7f7947bd,José Roberto Oliveira Faro,Beto Faro,PT,Senador,PA,,,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg,2026-02-14 18:21:18.922+00,SENADO-BR-4639,Sincronização Lote 2026,Senado,quebrado
20e96084-075c-4019-964c-b493121f3e66,Zé Silva,Zé Silva,SOLIDARIEDADE,Deputado Federal,MG,,,https://www.camara.leg.br/internet/deputado/bandep/160632.jpg,2026-02-14 18:21:16.598+00,CAMARA-BR-160632,Sincronização Lote 2026,Câmara,ok
20f57ac0-f80a-40c5-b915-7e375b92afcb,Antônio Mecias Pereira de Jesus,Mecias de Jesus,REPUBLICANOS,Senador,RR,,,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6027.jpg,2026-02-14 18:21:26.476+00,SENADO-BR-6027,Sincronização Lote 2026,Senado,quebrado
20fab266-5663-4e15-9fce-8a03b3cbd6d9,Nikolas Ferreira,Nikolas Ferreira,PL,Deputado Federal,MG,,,https://www.camara.leg.br/internet/deputado/bandep/209787.jpg,2026-02-14 18:21:09.223+00,CAMARA-BR-209787,Sincronização Lote 2026,Câmara,ok
21d79c47-ed83-4802-802b-488247eb7a12,Aécio Neves,Aécio Neves,PSDB,Deputado Federal,MG,,,https://www.camara.leg.br/internet/deputado/bandep/74646.jpg,2026-02-14 18:20:50.087+00,CAMARA-BR-74646,Sincronização Lote 2026,Câmara,ok
22f9d1e8-dbbd-42be-b3e3-d64ebcb07774,Luis Carlos Heinze,Luis Carlos Heinze,PP,Senador,RS,,,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1186.jpg,2026-02-14 18:21:26.475+00,SENADO-BR-1186,Sincronização Lote 2026,Senado,quebrado
235ddbe6-8d9f-4697-a68b-7980d06d510b,Daniel Freitas,Daniel Freitas,PL,Deputado Federal,SC,,,https://www.camara.leg.br/internet/deputado/bandep/204367.jpg,2026-02-14 18:20:53.898+00,CAMARA-BR-204367,Sincronização Lote 2026,Câmara,ok
23841567-9adf-4cf3-a97e-2b27b6a61055,Maria Arraes,Maria Arraes,SOLIDARIEDADE,Deputado Federal,PE,,,https://www.camara.leg.br/internet/deputado/bandep/220668.jpg,2026-02-14 18:21:07.183+00,CAMARA-BR-220668,Sincronização Lote 2026,Câmara,ok
23894bae-7833-4011-97ee-8043d1a4c66c,Lucio Mosquini,Lucio Mosquini,MDB,Deputado Federal,RO,,,https://www.camara.leg.br/internet/deputado/bandep/178954.jpg,2026-02-14 18:21:05.207+00,CAMARA-BR-178954,Sincronização Lote 2026,Câmara,ok
268997a5-d964-4b25-8a2f-9a54211a37d4,Leo Prates,Leo Prates,PDT,Deputado Federal,BA,,,https://www.camara.leg.br/internet/deputado/bandep/80815.jpg,2026-02-14 18:21:04.277+00,CAMARA-BR-80815,Sincronização Lote 2026,Câmara,ok
277dba94-6249-490f-858f-8b4820d722d6,Tereza Cristina Correa da Costa Dias,Tereza Cristina,PP,Senador,MS,,,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5736.jpg,2026-02-14 18:21:28.982+00,SENADO-BR-5736,Sincronização Lote 2026,Senado,quebrado
2791b081-c38a-43d5-a78a-6bdda5526ec9,Elmar Nascimento,Elmar Nascimento,UNIÃO,Deputado Federal,BA,,,https://www.camara.leg.br/internet/deputado/bandep/178854.jpg,2026-02-14 18:20:56.938+00,CAMARA-BR-178854,Sincronização Lote 2026,Câmara,ok
27cbe148-12db-4e15-b110-82c6e23b31a6,Dandara,Dandara,PT,Deputado Federal,MG,,,https://www.camara.leg.br/internet/deputado/bandep/220629.jpg,2026-02-14 18:20:54.011+00,CAMARA-BR-220629,Sincronização Lote 2026,Câmara,ok
27db6431-6c38-4ea0-9f4e-72b6e3c491e0,Átila Lira,Átila Lira,PP,Deputado Federal,PI,,,https://www.camara.leg.br/internet/deputado/bandep/123086.jpg,2026-02-14 18:20:51.428+00,CAMARA-BR-123086,Sincronização Lote 2026,Câmara,ok
296d7ac8-a1d9-4d62-a602-8e354c389f75,Luciano Alves,Luciano Alves,PSD,Deputado Federal,PR,,,https://www.camara.leg.br/internet/deputado/bandep/138286.jpg,2026-02-14 18:21:05.071+00,CAMARA-BR-138286,Sincronização Lote 2026,Câmara,ok
29ca453a-b531-4f2b-9eb4-982e9256ac22,Professora Marcivania,Professora Marcivania,PCdoB,Deputado Federal,AP,,,https://www.camara.leg.br/internet/deputado/bandep/160641.jpg,2026-02-14 18:21:11.567+00,CAMARA-BR-160641,Sincronização Lote 2026,Câmara,ok
29f37377-d268-404c-a799-670bbedb2666,Paulo Azi,Paulo Azi,UNIÃO,Deputado Federal,BA,,,https://www.camara.leg.br/internet/deputado/bandep/178860.jpg,2026-02-14 18:21:09.676+00,CAMARA-BR-178860,Sincronização Lote 2026,Câmara,ok
2a96791e-8558-4cac-b389-cf1f644930f4,Marcos Rogério da Silva Brito,Marcos Rogério,PL,Senador,RO,,,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5422.jpg,2026-02-14 18:21:26.476+00,SENADO-BR-5422,Sincronização Lote 2026,Senado,quebrado
2adf0ff7-b2a3-4dbe-a7b7-6e911791ab83,Danrlei de Deus Hinterholz,Danrlei de Deus Hinterholz,PSD,Deputado Federal,RS,,,https://www.camara.leg.br/internet/deputado/bandep/160552.jpg,2026-02-14 18:20:54.235+00,CAMARA-BR-160552,Sincronização Lote 2026,Câmara,ok
2b612b07-5eb9-46d1-8d8e-8710b65fa6fa,Luciano Ducci,Luciano Ducci,PSB,Deputado Federal,PR,,,https://www.camara.leg.br/internet/deputado/bandep/178931.jpg,2026-02-14 18:21:05.237+00,CAMARA-BR-178931,Sincronização Lote 2026,Câmara,ok
2bab3dc0-9902-40dc-8354-077c6e7ad098,Marx Beltrão,Marx Beltrão,PP,Deputado Federal,AL,,,https://www.camara.leg.br/internet/deputado/bandep/178843.jpg,2026-02-14 18:21:07.587+00,CAMARA-BR-178843,Sincronização Lote 2026,Câmara,ok
2c738f73-96ca-43ae-9468-2442d1f0f766,Lindbergh Farias,Lindbergh Farias,PT,Deputado Federal,RJ,,,https://www.camara.leg.br/internet/deputado/bandep/74858.jpg,2026-02-14 18:21:04.379+00,CAMARA-BR-74858,Sincronização Lote 2026,Câmara,ok
2c9b7b25-7d3d-4d69-9f5a-052fdcb922b1,Bacelar,Bacelar,PV,Deputado Federal,BA,,,https://www.camara.leg.br/internet/deputado/bandep/69871.jpg,2026-02-14 18:20:51.356+00,CAMARA-BR-69871,Sincronização Lote 2026,Câmara,ok
